game,autorom_name,sha256,size_bytes,resolved_path,retrieval,validation_horizon
pong,pong,41623e3c26148f96cbe77d56512845d224a63c8fe5bf90e38527155e39ec96d3,2048,roms/pong.bin,AutoROM (pip install autorom && AutoROM --accept-license); verify SHA-256 below,RAM ~30 frames / screen ~60 frames (Paper-1 64/64 bit-exact window)
breakout,breakout,376323f051c3c373c887fd83abead39d87d844ff283d435f4addbfc1710c6fd5,2048,roms/breakout.bin,AutoROM (pip install autorom && AutoROM --accept-license); verify SHA-256 below,RAM ~30 frames / screen ~60 frames (Paper-1 64/64 bit-exact window)
space_invaders,space_invaders,7224b17462b992d67f4e06a3c85f269c9822b06df6015bf038b55f384ced0301,4096,roms/space_invaders.bin,AutoROM (pip install autorom && AutoROM --accept-license); verify SHA-256 below,RAM ~30 frames / screen ~60 frames (Paper-1 64/64 bit-exact window)
seaquest,seaquest,fbc29f4678f69ac27fe46da298c8c22f98cba2a3e5491e6b308fd9bf68d2ee43,4096,roms/seaquest.bin,AutoROM (pip install autorom && AutoROM --accept-license); verify SHA-256 below,RAM ~30 frames / screen ~60 frames (Paper-1 64/64 bit-exact window)
ms_pacman,ms_pacman,dde0b43c5dee7ce1a35ac8e2f625b32a16118512d9be4064115053b972280b14,8192,roms/ms_pacman.bin,AutoROM (pip install autorom && AutoROM --accept-license); verify SHA-256 below,RAM ~30 frames / screen ~60 frames (Paper-1 64/64 bit-exact window)
qbert,qbert,3257221832a7607696b06b9985103c12a4c24c61b0c655e8f52aed8e38194b76,4096,roms/qbert.bin,AutoROM (pip install autorom && AutoROM --accept-license); verify SHA-256 below,RAM ~30 frames / screen ~60 frames (Paper-1 64/64 bit-exact window)
