kind,phase,method,tradition,n_games,n_records,mean,ci_lo,ci_hi,mean_over_records,ci_lo_over_records,ci_hi_over_records,S_mean,S_ci_lo,S_ci_hi,M_mean,M_ci_lo,M_ci_hi,F_mean,seed_sd,seed_sd_source,seed_sd_n_records,commits
method,phaseC_mechanistic,sparse_autoencoder,dim_reduction,40,40,0.1526,0.0974,0.2165,0.1526,0.0973,0.2177,0.1828,0.1095,0.2602,0.0701,0.0408,0.1048,0.1526,,,0,d85961ed
method,ground_truth,ORACLE,oracle,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,construction (exact oracle),0,
family,ALL,family_causal_intervention,causal+intervention,42,11,0.7214,0.6933,0.7495,,,,,,,,,,,,,,members=A1_connectomics;A2_lesions;ACDC;activation_patching;causal_scrubbing;extremal_perturbation;interchange_interventions_das;logit_tuned_lens;occlusion;on_distribution_counterfactual;path_patching
family,ALL,family_gradient_correlational,correlational+gradient,42,14,0.384,0.3564,0.4122,,,,,,,,,,,,,,members=A3_tuning;A4_spike_word;A5_local_field_potentials;A6_granger;attribution_patching;expected_gradients;gradxinput_deeplift;guided_backprop;integrated_gradients;kernelshap;lime;rise;smoothgrad;vanilla_saliency
family,regime:position,family_causal_intervention_position,causal+intervention,42,4,0.561,0.4998,0.6197,,,,,,,,,,,,,,members=activation_patching;extremal_perturbation;occlusion;on_distribution_counterfactual
family,regime:position,family_gradient_correlational_position,correlational+gradient,42,9,0.2346,0.1848,0.2862,,,,,,,,,,,,,,members=expected_gradients;gradxinput_deeplift;guided_backprop;integrated_gradients;kernelshap;lime;rise;smoothgrad;vanilla_saliency
family,regime:content,family_causal_intervention_content,causal+intervention,42,3,0.6388,0.58,0.6985,,,,,,,,,,,,,,members=extremal_perturbation;occlusion;on_distribution_counterfactual
family,regime:content,family_gradient_correlational_content,correlational+gradient,42,9,0.6478,0.5725,0.7196,,,,,,,,,,,,,,members=expected_gradients;gradxinput_deeplift;guided_backprop;integrated_gradients;kernelshap;lime;rise;smoothgrad;vanilla_saliency
headline,headline,ACDC_S,,35,,0.2995,0.2387,0.3573,,,,,,,,,,,,,,
headline,headline,ACDC_F_faithfulness,,35,,0.6254,0.5148,0.7285,,,,,,,,,,,,,,
headline,headline,SAE_matched_feature_S,,40,,0.1828,0.1087,0.2604,,,,,,,,,,,,,,
headline,headline,wholestate_M,,42,,0.0755,0.066,0.0852,,,,,,,,,,,,,,
headline,headline,position_regime_gap,causal_intervention − gradient_correlational,6,,0.3264,0.2785,0.3744,,,,,,,,,,,,,,excludes_zero=True
headline,headline,all_regime_gap,causal_intervention − gradient_correlational,6,,0.3374,0.3097,0.365,,,,,,,,,,,,,,excludes_zero=True
